what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.metadata,2.0.1.R36x_v20101202,"org.eclipse.equinox.p2.metadata",1393147948197
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1393147948221
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1393147948254
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.2.R36x_v20110114,"org.eclipse.equinox.p2.reconciler.dropins",1393147948256
started,bundle,org.eclipse.equinox.p2.repository,2.0.2.R36x_v20110111-1500,"org.eclipse.equinox.p2.repository",1393147948273
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1393147948298
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1393147948321
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1393147948322
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1393147948324
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1393147948361
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1393147948363
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1393147948381
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1393147948422
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1393147948435
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1393147948466
started,bundle,org.eclipse.jface,3.6.2.M20110210-1200,"org.eclipse.jface",1393147948467
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1393147948513
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1393147948545
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1393147948570
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1393147948570
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1393147948596
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1393147948616
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1393147948631
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1393147948648
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1393147948684
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1393147948696
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1393147948709
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1393147948727
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1393147948789
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1393147948833
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1393147948867
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1393147948869
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1393147948884
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1393147948897
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1393147948912
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1393147948926
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1393147948937
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1393147948937
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1393147948944
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1393147948962
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1393147948977
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1393147948989
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1393147948999
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1393147949034
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1393147949049
started,bundle,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.adt",1393147949049
started,bundle,com.android.ide.eclipse.base,20.0.3.v201208082019-427395,"com.android.ide.eclipse.base",1393147949065
started,bundle,com.aptana.core,3.0.4.1345071090,"com.aptana.core",1393147949078
os,sysinfo,,,"win32",1393147949082
arch,sysinfo,,,"x86",1393147949082
ws,sysinfo,,,"win32",1393147949082
locale,sysinfo,,,"en_US",1393147949082
processors,sysinfo,,,"2",1393147949082
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1393147949082
java.runtime.version,sysinfo,,,"1.7.0_10-b18",1393147949082
java.specification.name,sysinfo,,,"Java Platform API Specification",1393147949082
java.specification.vendor,sysinfo,,,"Oracle Corporation",1393147949082
java.specification.version,sysinfo,,,"1.7",1393147949082
java.vendor,sysinfo,,,"Oracle Corporation",1393147949082
java.version,sysinfo,,,"1.7.0_10",1393147949082
java.vm.info,sysinfo,,,"mixed mode, sharing",1393147949082
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1393147949082
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1393147949082
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1393147949082
java.vm.specification.version,sysinfo,,,"1.7",1393147949082
java.vm.vendor,sysinfo,,,"Oracle Corporation",1393147949082
java.vm.version,sysinfo,,,"23.6-b04",1393147949082
started,bundle,com.aptana.portal.ui,3.0.0.1344983893,"com.aptana.portal.ui",1393147952600
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1393147952872
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1393147952933
started,bundle,com.aptana.filewatcher,3.0.1.1337406272,"com.aptana.filewatcher",1393147953487
started,bundle,com.aptana.scripting,3.0.0.1345071090,"com.aptana.scripting",1393147953597
started,bundle,com.aptana.scripting.ui,3.0.0.1337868086,"com.aptana.scripting.ui",1393147953618
started,bundle,com.aptana.explorer,3.0.0.1338904888,"com.aptana.explorer",1393147954151
started,bundle,com.aptana.theme,3.0.0.1339679951,"com.aptana.theme",1393147954225
started,bundle,beaver,3.0.0.1330991996,"beaver",1393147955377
started,bundle,com.aptana.usage,3.0.0.1345235597,"com.aptana.usage",1393147955921
started,bundle,org.python.pydev.red_core,2.7.0.2012080220,"org.python.pydev.red_core",1393147956522
started,bundle,com.aptana.ui,3.1.4.1343174370,"com.aptana.ui",1393147957470
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393147958331
started,bundle,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser",1393147958834
started,bundle,com.aptana.browser,3.0.0.1337406272,"com.aptana.browser",1393147959464
started,bundle,com.aptana.configurations,3.0.3.1337406272,"com.aptana.configurations",1393147959539
started,bundle,com.aptana.projects,3.0.0.1345075721,"com.aptana.projects",1393147959625
started,bundle,com.aptana.samples.ui,3.0.0.1344259195,"com.aptana.samples.ui",1393147959641
started,bundle,com.aptana.samples,3.0.0.1337406272,"com.aptana.samples",1393147959648
opened,editor,com.aptana.portal.ui,3.0.0.1344983893,"com.aptana.portal.ui.browser.startPage",1393147959660
started,bundle,com.aptana.preview,3.0.0.1337406272,"com.aptana.preview",1393147959714
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393147964076
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393147964504
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1393147969789
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1393147969969
error,log,,,"Unhandled event loop exception",1393147972834
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1393147972941
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1393147973096
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1393147973320
stopped,bundle,org.eclipse.compare.win32,1.0.101.R36x_v20101103-0618,"org.eclipse.compare.win32",1393147973397
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1393147973471
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1393147973577
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1393147973712
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,20.0.3.v201208082019-427395,"overlay.com.android.ide.eclipse.adt.overlay",1393147973778
stopped,bundle,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.adt",1393147973778
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1393147973888
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1393147974023
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1393147974080
stopped,bundle,com.python.pydev.codecompletion,2.7.0.2012080220,"com.python.pydev.codecompletion",1393147974243
stopped,bundle,com.python.pydev.refactoring,2.7.0.2012080220,"com.python.pydev.refactoring",1393147974347
stopped,bundle,com.python.pydev.analysis,2.7.0.2012080220,"com.python.pydev.analysis",1393147974528
stopped,bundle,com.python.pydev.debug,2.7.0.2012080220,"com.python.pydev.debug",1393147974616
stopped,bundle,com.python.pydev.fastparser,2.7.0.2012080220,"com.python.pydev.fastparser",1393147974727
stopped,bundle,org.python.pydev.red_core,2.7.0.2012080220,"org.python.pydev.red_core",1393147974727
